Empresa,Estado,Descripcion
"EVAN POWER EQUIPMENT, S.A DE C.V.",Guadalajara - Mexico,"Fabricacion y distribucion de bombas para irrigacion, equipo agricola, asi como compresores y generadores.
Proveedor de:
Bombas para motores de combustion interna
Motores y piezas mecanicas
Bombas de aire..."
"GATE GOURMET & MAASA MEXICO, S. DE R.L. DE C.V.",Mexico - Mexico,"Elaboracion de alimentos en general.
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Carne kosher..."
"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V.",Gomez palacio - Mexico,"Elaboracion y venta de producto lacteos, tales como: Queso, crema, yogurth, mantequila y postres.
Proveedor de:
Alimentacion
Leches
Leche fresca..."
"ALIMENTOS FINOS DE OCCIDENTE, S.A. DE C.V., SIGMA ALIMENTOS DE OCCIDENTE",Guadalajara - Mexico,"Produccion, venta y distribucion de carnes frias.
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Carnes delicatessen..."
Ardico,Puebla - Mexico,"Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
"VALLE REDONDO, S.A. DE C.V.",Naucalpan de juarez - Mexico,"Fabricacion y distribucion de concentrados de fruta, jugos y vinos.
Proveedor de:
Bebidas
Vinos de frutas
Vino tranquilo de manzana..."
"BARROSO, S.A. DE C.V.",Tehuacan - Mexico,"Comercializacion de abarrotes en general, granos y semillas, asi como llantas, camaras y acumuladores.
Proveedor de:
Agricultura y silvicultura
Cereales y pseudo cereales
Zahina (sorgo)..."
"RAGASA INDUSTRIAS, S.A. DE C.V., GRUPO RAGASA",Monterrey - Mexico,"Elaboracion, comercializacion y distribucion de aceite vegetal y harinas.
Proveedor de:
Yogurt
Alimentacion
Yogur de soja..."
"PAQA, S.C. DE R.L. DE C.V.",La cruz - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
"SANTA CLARA MERCANTIL DE PACHUCA, S.A. DE C.V. (Matriz - Produccion)",Pachuca - Mexico,"Santa Clara es una empresa mexicana y comprometida con sus clientes, por lo que elaboramos y comercializamos productos de la mas alta calidad elaborados con ingredientes naturales sin conservadores de principio a fin, iniciando el ciclo con el cultivo de los forrajes, el cuidado y alimentacion de la... Ver su perfil
Proveedor de:
Alimentacion
Leches
Leche fresca..."
"LALA MEXICO, S.A. DE C.V.",Mexico - Mexico,"Elaboracion y procesamiento de productos lacteos.
Proveedor de:
Alimentacion
Leches
Leche condensada y en polvo..."
"GOLLEK INTERAMERICAS, S. DE R.L. DE C.V.",Linares - Mexico,"Fabricacion y comercializacion de productos alimenticios a base de arroz inflado.
Proveedor de:
Agricultura y silvicultura
Cereales y pseudo cereales
Alimentacion..."
MAX POWER MEXICO SA DE CV,Puebla (heroica puebla) - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
"CULTIVARES MEXICANOS, S.A. DE C.V.",El rosario - Mexico,"Produccion agricola de mango y chile
Proveedor de:
Vegetales de hoja
Agricultura y silvicultura
Ensaladas..."
"FLORAPLANT, S.A. DE C.V.",Emiliano zapata - Mexico,"Comercializadores de insumos para invernaderos, macetas, pet moss de fibra de coco, agrolita y sustratos.
Proveedor de:
Agricultura y silvicultura
Plantas decorativas
Flores cortadas..."
"GRUPO VASCONIA, S.A.B.",Estado de mexico - Mexico,"Empresa lider en desarrollo, manufactura y/o comercializacion de articulos para la mesa y la cocina en Mexico, bajo diversas marcas de reconocido prestigio.
Proveedor de:
Higiene y limpieza
Cubos y palas para uso domestico
Palas metalicas domesticas..."
"PROMOTORA ALPRO, S.A. DE C.V., NORSON",Hermosillo - Mexico,"Comercializacion de carne de cerdo, para las filiales del grupo.
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Carne de cerdo fresca..."
"CENTRO EXPORTADOR, S.A. DE C.V.",Mexico - Mexico,"Comercializadora de Cuchillas, ruedas, motores, refacciones, accesorios, chicotes para todas las marcas de podadoras.
Proveedor de:
Tijeras y cizallas, podaderas
Fabricantes de herramientas, ferreteria y cuchilleria
Cuchillas, metalicas..."
"SIGMA ALIMENTOS NORESTE, S.A. DE C.V.",Monterrey - Mexico,"Elaboracion, comercializacion, venta y empacado de carnes frias y embutidos.
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Carnes delicatessen..."
"PROPIMEX, S.A. DE C.V.",Mexico - Mexico,"Produccion y distribucion de refrescos, especificamente para Coca-Cola Femsa.
Proveedor de:
Aguardientes y bebidas espiritosas
Bebidas
Vino con denominacion de origen..."
"GALLETAS CUETARA, S.A. DE C.V.",Mexico - Mexico,"Elaboracion y comercializacion de galletas y reposteria.
Proveedor de:
Alimentacion
Galletas y crackers
Galletas dulces..."
"KRONES MEXICO, S.A. DE C.V.",Mexico - Mexico,"Soluciones completas para el llenado, etiquetado, embalado, paletizacion y fabricacion de botellas PET. Venta de Maquinaria y refacciones para la industria del embotellado.
Proveedor de:
Preparacion, embotellamiento y envase de bebidas
Bebidas
Embotellado y envasado de refrescos..."
"CITROLIM, S.A. DE C.V.",Apatzigan - Mexico,"Procesamiento limon industrial y extraer aceites esenciales, jugos concentrados, y cascara como materias primas de la industrias de alimentos y bebidas.
Proveedor de:
Agricultura y silvicultura
Agrios
Limones..."
"RADIO SHACK DE MEXICO, S.A. DE C.V.",Mexico - Mexico,"Comercializacion de articulos electronicos.
Proveedor de:
Higiene y limpieza
Aspiradoras
Aspiradoras electricas domesticas..."
"PRODUCTORA PECUARIA ALPERA, S.A. DE C.V.",Tepic - Mexico,"Produccion de crianza y en gorda de todo tipo de aves de corral.
Proveedor de:
Ganaderia y pesca
Aves de corral
Aves de corral de un dia de edad..."
"PRODUCTOS CHATA, S.A. DE C.V., CHATA",Culiacan - Mexico,"Elaboracion y comercializacion de productos alimenticios, embutidos, enlatados y comida mexicana, tales como: Tamales, frijoles, menudo, chilorio, pozole entre otros.
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Salchichas, embutidos y salchichones..."
"MAGROMEX, S.A. DE C.V.",Guadalajara - Mexico,"Exportacion de frambuesa, zarzamora y esparrago, entre otros
Proveedor de:
Agricultura y silvicultura
Bayas
Fresas..."
"RANCHO MEDIO KILO, S.P.R. DE R.L.",San francisco de los romos - Mexico,"El Rancho Medio Kilo es sin duda una de las empresas agricolas mexicanas lideres en el desarrollo y uso de las tecnologias que permiten obtener alimentos mas sanos. Su Control Integrado de Plagas, el uso de Control Biologico y sus Buenas Practicas Agricolas permiten obtener productos de gran calidad... Ver su perfil
Proveedor de:
Productos quimicos
Herbicidas
Herbicidas selectivos..."
TIENDAS UNAM,Mexico - Mexico,"Sistema de tiendas de autoservicio. Compraventa de abarrotes en general, principalmente.
Proveedor de:
Alimentacion
Envasado y enlatado de carnes de corral y de caza
Yogurt..."
"POSTA EL CUATRO, S.A. DE C.V.",Mexico - Mexico,"Produccion y cria de ganado porcino.
Proveedor de:
Ganaderia y pesca
Ovejas, cabras y cerdos
Cerdos seleccionados..."
NUEVO PAN REGIO SA DE CV,Guadalajara - Mexico,"Panificacion tradicional
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
"XTRA CONGELADOS, S.P.R. DE R.L.",San francisco del rincon - Mexico,"Congelacion y empacado de productos agricolas, tales como; brocoli, coliflor, zanahoria y ocra
Proveedor de:
Agricultura y silvicultura
Tuberculos
Zanahorias..."
"COMERCIAL E IMPORTADORA SONORENSE, S.A. DE C.V., CEISSA",Ciudad obregon - Mexico,"Comercializacion de abarrotes en general, asi como articulos electronicos.
Proveedor de:
Alimentacion
Envasado y enlatado de carnes de corral y de caza
Yogurt..."
"FLEJES SULTANA, S.A. DE C.V.",San nicolas de los garza - Mexico,"Comercializacion de equipo de embalaje, tales como: Flejes y sellos, Soldadoras, tensionadoras, cortadoras, cintas, marcadoras, maquinas flejadoras, engrapadoras, clavadoras, envolturas, maquinas y bolsas de aire.
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Empaque de productos agricolas..."
"FRUTA FRESCA, S.A. DE C.V.",Naucalpan de juarez - Mexico,"Comercializacion de concentrados de fruta fresca para la industria alimenticia.
Proveedor de:
Alimentacion
Procesado de frutas
Fruta en polvo..."
PHILIP MORRIS CIGATAM PRODUCTOS Y SERVICIOS S DE RL DE CV,Guadalajara - Mexico,"Beneficio del tabaco
Proveedor de:
Transformacion preliminar del tabaco en rama
Agricultura y silvicultura
Servicios de tratamientos de productos agricolas"
"Grupo Agroindustrial San Miguel, S.P.R. de R.L.",Mexico - Mexico,"Comercializacion, industrializacion, produccion y cultivo de productos agricolas y pecuarios.
Proveedor de:
Agricultura y silvicultura
Verduras de flores
Alcachofas..."
"11 DE DICIEMBRE DE 1996, S.A. DE C.V.",Ciudad obregon - Mexico,"Produccion y comercializacion de Camarones.
Proveedor de:
Ganaderia y pesca
Crustaceos
Camarones"
POLLOS MARIO,Aguascalientes - Mexico,"Comercio al por mayor de huevo
Proveedor de:
Huevos
Ganaderia y pesca
Alimentos, bebidas y tabaco (al por mayor)..."
RANCHO EL TOPETON SPR DE RL DE CV,Cadereyta jimenez - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (Division Yogurth)",San pedro garza garcia - Mexico,"Produccion y venta de productos y derivados lacteos (leche, yogurth y quesos).
Proveedor de:
Alimentacion
Leches
Leche fresca..."
"SAN REMO TRADE, S.A. DE C.V.",Mexico - Mexico,"Comercializaciopn de equipo para restaurantes, hoteles y cafeterias tales como cafeteras, enfriadores de bebidas y maquinas de granita, licuadoras etc.
Proveedor de:
Fabricantes de herramientas, ferreteria y cuchilleria
Filtros metalicos
Filtros metalicos para cafeteras..."
"AGROINDUSTRIAS QUESADA, S. DE R.L. DE C.V.",Aguascalientes - Mexico,"Produccion, crianza y comercializacion de pollo y huevo.
Proveedor de:
Ganaderia y pesca
Aves de corral
Aves de corral de un dia de edad..."
"GRUPO EMBOTELLADOR CIMSA, S.A. DE C.V. (PLANTA -)",Cuernavaca - Mexico,"Servicios de elaboracion y distribucion de bebidas gaseosas.
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Bebidas
Polvos para aguas de mesa..."
"BEJO MEXICO, S.A. DE C.V.",Celaya - Mexico,"Produccion, tratamiento y comercializacion de semillas de hortalizas tales como: semillas de apio, betabel, brocoli, cebolla, cilantro, coliflor, col china, espinaca, poro, rabano, tomates, etc.
Proveedor de:
Agricultura y silvicultura
Tuberculos
Remolachas..."
KE-PETS,Ciudad juarez - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
EMPACADORA DE CITRICOS LA PROVIDENCIA SE DE CV,Cordoba - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
"NESTLE DE MEXICO, S.A. DE C.V. (NESTLE NUTRITION PLANTA QUERETARO)",Queretaro - Mexico,"Fabricacion y comercializacion de alimentos para bebes asi como agua purificada, y accesorios para el cuidado del bebe.
Proveedor de:
Alimentacion
Leches
Leche en polvo para bebes..."
"AGRICOLA TERRAMARA, S. DE R.L. DE C.V., TERRAMARA",Hermosillo - Mexico,"Produccion y comercializacion de uva de mesa y durazno.
Proveedor de:
Agricultura y silvicultura
Frutas de hueso o pepitas
Melocotones..."
"NATURAL PRODUCTS INTERNACIONAL, S.A. DE C.V.",El salto - Mexico,"Fabricacion, transformacion, comercializacion y distribucion de materias primas para la industria alimenticia. Principales productos: Acidulantes, colorantes, conservadores, quimicos aromaticos, oleresinas, entre otros.
Proveedor de:
Plantas industriales y cultivos
Agricultura y silvicultura
Vainilla..."
"Keydon, S.A. de C.V., Keydon",Puebla - Mexico,"La empresa nace en 1985 cubriendo la necesidad de disenar y suministrar equipo para tratamiento de agua residual; ampliando durante este tiempo su trayectoria como fabricante de equipos industriales como chillers, tanques, cambiadores de calor, reactores, montajes electromecanicos. Ahora disenamos y... Ver su perfil
Proveedor de:
Tanques y cubas, metalicas
Tanques de metal para gasolina y combustibles liquidos
Tanques y cisternas metalicos para gases..."
"RASTRO Y EMPACADORA TREVINO, S.A. DE C.V.",Monterrey - Mexico,"Matanza y empacado de carne de ganado porcino y bovino.
Proveedor de:
Ganaderia y pesca
Ganado vacuno
Ganado bovino de carne..."
"BONANZA 2001, S.A. DE C.V.",Guadalajara - Mexico,"Produccion y comercializacion al mayoreo y menudeo de jitomate, chile morron (pimiento), pepino, chile jalapeno, cebolla (hortalizas en general).
Proveedor de:
Agricultura y silvicultura
Tuberculos y rizomas vegetales
Cebollas..."
"VEGPACKER DE MEXICO, S. DE R.L. DE C.V.",Irapuato - Mexico,"Exportacion de vegetales y servicio de empaque de lechugas.
Proveedor de:
Ensaladas
Agricultura y silvicultura
Lechugas..."
"GRUPO PUMA ABARROTERO, S.A. DE C.V.",Mexico - Mexico,"Comercializacion de vinos, licores y abarrotes en general.
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Carne kosher..."
"BLANCOS Y CONFECCIONES DE DURANGO, S.A. DE C.V.",Durango - Mexico,"Comercializacion de blancos, muebles y linea blanca.
Proveedor de:
Muebles y ropa de hogar
Muebles de cocina
Muebles para ninos..."
DOC & DOG,Boca del rio - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"BETA SAN MIGUEL, S.A. DE C.V.",Mexico - Mexico,"Produccion y comercializacion de azucar blanca, melazas, alcohol y composta.
Proveedor de:
Azucar
Azucar de cana
Azucar blanco..."
"TALLERES DE REPARACION, S.A. DE C.V., NIXTAMEX",Mexico - Mexico,"Fabricacion y comercializacion de maquinaria para la transportacion, almacenaje y transformacion de maiz a nixtamal, masa y tortilla asicomo para otros granos y especias. Nuestros equipos han sido exportados a diversos paises del continente Americano y Europeo posicionandonos como lideres del mercad... Ver su perfil
Proveedor de:
Fabricantes de herramientas, ferreteria y cuchilleria
Articulos metalicos de cocina y de mesa
Prensas metalicas para preparacion de tortillas..."
VETERINARIA MONARREZ,La cruz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
VETERINARIA PUMBA,Veracruz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
QUESOS LA FLORE?,Apodaca - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
VETERINARIA VERGARA,Uruapan - Mexico,"Servicios veterinarios para la ganaderia prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia"
VETERINARIA TOLOCAN,Toluca de lerdo - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
VETERINARIA SANTE FE,Cancun - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
VETERINARIA INTEGRAL DE TOLUCA SA DE CV,Toluca de lerdo - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
VETERINARIA HUELLITAS,Ciudad de mexico - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
VETERINARIA COYOTE,Soledad de doblado - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
"ALTA TECNOLOGIA EN HERRAMIENTAS, S.A. DE C.V., ATHESA",Tlalnepantla - Mexico,"Fabricacion y reparacion de herramientas de corte, a base de carburo de tuxteno.
Proveedor de:
Madera, productos de madera, maquinaria y equipos para la industria de la madera
Servicios de instalacion y mantenimiento, para equipos de carpinteria
Salud, medica y farmaceutica..."
"GRUPO FERRETERO AMUTIO, S.A. DE C.V.",Guadalajara - Mexico,"Comercializacion de articulos para electricidad, ferreteria, fontaneria etc.
Proveedor de:
Textiles
Mangueras, textiles
Mangueras tejidas para jardineria..."
PICADINO,Leon de los aldama (leon) - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
MEDIVET,Chihuahua - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSTRUCTORES NUEVA GENERACION SA DE CV,Merida - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
COMERCIAL DON LUIS,Campeche - Mexico,"Comercio al por mayor de vinos y licores
Proveedor de:
Bebidas
Vino
Alimentos, bebidas y tabaco (al por mayor)..."
COMERCIAL DE LAS CHOAPAS SA DE CV,Las choapas - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
COMPROMIN SA DE CV,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
PALETERIA HEIDI,Minatitlan - Mexico,"Elaboracion de helados y paletas
Proveedor de:
Alimentacion
Helados y sorbetes
Postres ultracongelados..."
PRODUCTOS RICHAUD SA DE CV,Campeche - Mexico,"Elaboracion de botanas
Proveedor de:
Alimentacion
Snacks salados"
PRODUCTOS REGIONALES SAN PEDRO DE R. L. DE C. V.,La paz - Mexico,"Comercio al por mayor de leche y otros productos lacteos
Proveedor de:
Alimentacion
Leches
Alimentos, bebidas y tabaco (al por mayor)..."
MYNCO,Chihuahua - Mexico,"Reparacion y mantenimiento de maquinaria y equipo agropecuario y forestal
Proveedor de:
Servicios de instalacion y mantenimiento para equipos agricolas y silvicultura
Maquinaria y equipos para agricultura y silvicultura"
CONSEPCION ALBARRAN MARTINEZ,Toluca de lerdo - Mexico,"Comercio al por mayor de huevo
Proveedor de:
Huevos
Ganaderia y pesca
Alimentos, bebidas y tabaco (al por mayor)..."
CIPSA INDUSTRIAS SA DE CV,San pedro cholula - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
COMPRA Y VENTA DE FORRAJES,Bucerias - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
CONSEDICO MINASUR SA DE CV,Minatitlan - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
CONSEA,Tuxtla gutierrez - Mexico,"Reparacion y mantenimiento de maquinaria y equipo agropecuario y forestal
Proveedor de:
Servicios de instalacion y mantenimiento para equipos agricolas y silvicultura
Maquinaria y equipos para agricultura y silvicultura"
CONSTRUCTORA CASTRO,Chihuahua - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
CONSTRUCCION JUPA,Cordoba - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
COMERCIALIZADORA DHIA SA DE CV,Tuxtla gutierrez - Mexico,"Elaboracion de harina de otros productos agricolas
Proveedor de:
Otras harinas que no son de cereales
Alimentacion"
VETERINARIA PERROPOLIS,Veracruz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSTRUCCIONES Y SERVICIOS,Saltillo - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
CONOS DE PUEBLA,Puebla (heroica puebla) - Mexico,"Elaboracion de helados y paletas
Proveedor de:
Alimentacion
Helados y sorbetes
Postres ultracongelados..."
NAPOS,Torreon - Mexico,"Comercio al por mayor de botanas y frituras
Proveedor de:
Alimentacion
Snacks salados
Alimentos, bebidas y tabaco (al por mayor)..."
PALETERIA DEL NORTE,Nuevo casas grandes - Mexico,"Elaboracion de helados y paletas
Proveedor de:
Alimentacion
Helados y sorbetes
Postres ultracongelados..."
PALETERIA ERIKA,Ciudad juarez - Mexico,"Elaboracion de helados y paletas
Proveedor de:
Alimentacion
Helados y sorbetes
Postres ultracongelados..."
CONSERVAS LA TORRE SA DE CV,Cuautitlan izcalli - Mexico,"Conservacion de frutas y verduras por procesos distintos a la congelacion y la deshidratacion
Proveedor de:
Alimentacion
Procesado de frutas
Verduras procesadas..."
CONSERVAS LA COSTENA. SA DE CV,Ecatepec de morelos - Mexico,"Conservacion de frutas y verduras por procesos distintos a la congelacion y la deshidratacion
Proveedor de:
Alimentacion
Procesado de frutas
Verduras procesadas..."
COMERCIALIZADORA TRES CASTILLOS SPR DE RL,Chihuahua - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
VETERINARIA MASCOMIDA,Veracruz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CARNICERIA CAMACHO,Cordoba - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
GREENHOUSE,Tepatitlan de morelos - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
SOCIEDAD COOPERATIVA GANADEROS UNIDOS DE CANDELARIA,Candelaria - Mexico,"Servicios veterinarios para la ganaderia prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia"
AGUILA LEAL,Garcia - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNES LAGUNILLAS,Colima - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
TAMALES,Queretaro - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
GRUPO JALISCIENCE SIGLO XXI SA DE CV,Tlajomulco de zuniga - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
GREEN TE,Campeche - Mexico,"Elaboracion de refrescos y otras bebidas no alcoholicas
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Bebidas
Gaseosas en lata..."
PROVEEDORA DE CARNES MARIA CRISTINA SA DE CV,Benito juarez - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
SERVICIO DE RECTIFICACION Y BALANCEO CALZADA SA DE CV,Jerez (jerez de garcia salinas) - Mexico,"Reparacion y mantenimiento de maquinaria y equipo agropecuario y forestal
Proveedor de:
Servicios de instalacion y mantenimiento para equipos agricolas y silvicultura
Maquinaria y equipos para agricultura y silvicultura"
PLAZA ACUEDUCTO,Ciudad de mexico - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
FRESCO YOC,Campeche - Mexico,"Elaboracion de refrescos y otras bebidas no alcoholicas
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Bebidas
Gaseosas en lata..."
FRITURAS ROXFRITZ,Campeche - Mexico,"Elaboracion de botanas
Proveedor de:
Alimentacion
Snacks salados"
FRIYUCA,Villahermosa - Mexico,"Elaboracion de botanas
Proveedor de:
Alimentacion
Snacks salados"
ROLCAT SA DE CV,Ecatepec de morelos - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
GRUPO WEST PAK DE MEXICO S DE RL DE CV,Uruapan - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
GRUPO VOSA SA DE CV,Tuxpam de rodriguez cano - Mexico,"Elaboracion de otras bebidas destiladas
Proveedor de:
Aguardientes y bebidas espiritosas
Bebidas"
SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD,Chihuahua - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
"Sociedad Cooperativa Rural de Compra y Venta en Com?Comercializaci?l Grullo, SCL",El grullo - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
GROUP MOFA GLOBAL S DE RL DE CV,Queretaro - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
TORTILLERIA LA 54,Chihuahua - Mexico,"Elaboracion de cereales para el desayuno
Proveedor de:
Alimentacion
Cereales preparados para desayunos"
"Ingenieria Termodinamica S.A. de C.V., ITML",Azcapotzalco - Mexico,"Ingenieria Termodinamica es una empresa dedicada a la fabricacion y distribucion de sistemas de enfriamiento y transferencia de calor ofrecemos.Torres de enfriamientoIntercambiadores de calorEnfriadores de agua heladaEnfriadores de agua portatilesChillersPasteurizadores Aeroenfriadores... Ver su perfil
Proveedor de:
Intercambiadores
Torres de enfriamiento o refrigeracion
Torres de enfriamiento de tiro inducido..."
MAGANA ROJAS MARIA CRISTINA,Ticul - Mexico,"Proveedor de:
Alimentacion
Piensos y alimentos para animales"
DIAZ AYALA JAIME,Torreon - Mexico,"Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
"ELECTRONICA GONZALEZ, S.A. DE C.V. ELECTRONICA GONZALEZ",Solidaridad - Mexico,"Proveedor de:
Cervezas
Bebidas
Higiene y limpieza..."
